train_loss,train_acc,val_acc,test_acc
0.010929678365743616,0.4935811714362129,0.7437722419928826,0.792814371257485
0.005538660252786123,0.7837657127574218,0.8446026097271648,0.8976047904191616
0.0038015943744916527,0.8416688954265846,0.8706998813760379,0.9167664670658683
0.0029985476429687523,0.8666755817063386,0.8754448398576512,0.9251497005988024
0.0025421616589681897,0.8867344209681733,0.8979833926453143,0.937125748502994
0.0021785284968167265,0.9011767852366943,0.9086595492289442,0.944311377245509
0.001885174451568733,0.917357582241241,0.9110320284697508,0.9437125748502994
0.0016997581550576974,0.9241775875902648,0.9193357058125742,0.951497005988024
0.0015326585659498708,0.9305964161540519,0.9228944246737841,0.9502994011976048
0.0014684642838201092,0.9332709280556298,0.9169632265717675,0.951497005988024
0.0013025718491786493,0.9375501470981545,0.9228944246737841,0.9568862275449102
0.001200116536146372,0.9445038780422573,0.9264531435349941,0.9574850299401197
0.001089665697009272,0.9481144691093876,0.933570581257414,0.9604790419161676
0.0009879800255651237,0.9546670232682536,0.9395017793594306,0.9592814371257485
0.0009409141599510276,0.9561380048141215,0.9323843416370107,0.9592814371257485
0.000888768663242814,0.9556031024338059,0.930011862396204,0.9604790419161676
0.0007623398921114457,0.9644289917090131,0.933570581257414,0.9604790419161676
0.0007521576888502585,0.963225461353303,0.9359430604982206,0.9634730538922156
0.0006864603462385665,0.9688419363466167,0.9371293001186239,0.9640718562874252
0.000676766210306644,0.9667023268253544,0.933570581257414,0.9646706586826347
0.0006548192229507505,0.9685744851564589,0.9383155397390273,0.9646706586826347
0.0006412501449642668,0.9715164482481947,0.9359430604982206,0.9640718562874252
0.0006603754436142402,0.9696442899170902,0.9406880189798339,0.9640718562874252
0.0006515547985873079,0.9705803690826424,0.9347568208778173,0.9658682634730539
0.0006417323872307527,0.9717838994383525,0.9359430604982206,0.9664670658682635
0.0006405445157995388,0.969778015512169,0.9359430604982206,0.9658682634730539
0.0006188129008366291,0.9715164482481947,0.9383155397390273,0.9658682634730539
0.000646545976653444,0.9673709548007489,0.9359430604982206,0.9670658682634731
0.0006238691151086326,0.9712489970580369,0.9347568208778173,0.9640718562874252
0.0006029113686779789,0.9733886065792993,0.9359430604982206,0.9640718562874252
